text,intent
brokoli yang lembut dong,cari_resep
lagi maag nih,informasi_kondisi_kesehatan
kwetiau oseng tanpa garam untuk vegetarian,cari_resep_kompleks
sampai kapan,tanya_informasi
pengen ayam tumis,cari_resep
ada kolesterol ga boleh apa,informasi_kondisi_kesehatan
substitusi bayam dengan apa,tanya_alternatif
lagi asam urat nih,informasi_kondisi_kesehatan
mau dong,chitchat
punya maag boleh makan apa,informasi_kondisi_kesehatan
tahu kandungannya apa,tanya_informasi
cariin resep tempe,cari_resep
bikin tempe balado buat kolesterol tanpa tepung,cari_resep_kompleks
mau masak salmon yang tumis,cari_resep
cariin resep udang,cari_resep
salmon bisa diganti apa,tanya_alternatif
substitusi sapi dengan apa,tanya_alternatif
ada maag ga boleh apa,informasi_kondisi_kesehatan
cara tumis yang benar gimana,tanya_informasi
nutrisi kwetiau,tanya_informasi
aku diabetes,informasi_kondisi_kesehatan
